trip_id,route,transport_type,current_price,days_to_departure,poll_cycle,demand_index,seasonality_index,day_of_week,month,is_weekend
synthetic-trip-00000,Goa,flight,10172,3,0,1.3182,0.95,1,8,False
synthetic-trip-00000,Goa,flight,10103,3,1,1.334,0.95,1,8,False
synthetic-trip-00000,Goa,flight,10190,3,2,1.3498,0.95,1,8,False
synthetic-trip-00000,Goa,flight,10237,3,3,1.3656,0.95,1,8,False
synthetic-trip-00000,Goa,flight,10165,3,4,1.3814,0.95,1,8,False
synthetic-trip-00000,Goa,flight,10441,3,5,1.3972,0.95,1,8,False
synthetic-trip-00000,Goa,flight,10692,3,6,1.4131,0.95,1,8,False
synthetic-trip-00000,Goa,flight,10946,3,7,1.4289,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,6534,4,0,1.3635,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,6580,4,1,1.3798,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,6601,4,2,1.3962,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,6569,4,3,1.4126,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,6688,4,4,1.4289,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,6711,4,5,1.4453,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,6838,4,6,1.4617,0.95,1,8,False
synthetic-trip-00001,Mumbai,train,7017,4,7,1.478,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6156,5,0,1.4619,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6185,5,1,1.4795,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6190,5,2,1.497,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6060,5,3,1.5146,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6175,5,4,1.5321,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6239,5,5,1.5496,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6317,5,6,1.5672,0.95,1,8,False
synthetic-trip-00002,Delhi,bus,6384,5,7,1.5847,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,12562,6,0,1.276,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,12669,6,1,1.2914,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,12804,6,2,1.3067,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,12671,6,3,1.322,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,12794,6,4,1.3373,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,13009,6,5,1.3526,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,13245,6,6,1.3679,0.95,1,8,False
synthetic-trip-00003,Bengaluru,flight+train,13642,6,7,1.3832,0.95,1,8,False
synthetic-trip-00004,Jaipur,train+bus,8009,7,0,1.1878,0.95,1,8,False
synthetic-trip-00004,Jaipur,train+bus,8054,7,1,1.202,0.95,1,8,False
synthetic-trip-00004,Jaipur,train+bus,8114,7,2,1.2163,0.95,1,8,False
synthetic-trip-00004,Jaipur,train+bus,8015,7,3,1.2305,0.95,1,8,False
synthetic-trip-00004,Jaipur,train+bus,8172,7,4,1.2448,0.95,1,8,False
synthetic-trip-00004,Jaipur,train+bus,8159,7,5,1.259,0.95,1,8,False
